desig,name,number,survey,a,e,i,node,argper,period,ra,dec,vmag,absmag,absmagsig,slopepar,heldist,obsdist,alpha,elong,glxlon,glxlat,ra3sig,dec3sig,midtime,midtimejd,aorkey,framet,totalt,elapsed,notes,ch1,ch1err,ch1snr,ch2,ch2err,ch2snr,diam,d1sigl,d1sigu,d3sigl,d3sigu,pv,pv1sigl,pv1sigu,pv3sigl,pv3sigu,eta,eta1sigl,eta1sigu,eta3sigl,eta3sigu,reflsol
1992 UY4,,100085,ExploreNEOs,2.6374,0.62589,2.81,308.4798,38.229,4.28327,351.74239,-0.20492,19.84,18.07,0.22,0.15,1.226,0.8320000000000001,54.8,82.9,82.45424200000001,-56.288605000000004,0.17,0.11,2010-02-07T01:04:57.664,2455234.5451118518,32703232,,,,,316.9,16.8,18.9,1694.1,37.3,45.4,2.025,-0.515,1.06,-0.898,3.8739999999999997,0.025,-0.015,0.022000000000000002,-0.023,0.076,1.4,-0.31,0.55,-0.55,1.69,0.0
1998 MQ,,100926,ExploreNEOs,1.7828,0.40794,24.23,221.1765,138.671,2.38047,122.65728,-0.16798,19.28,17.11,0.22,0.15,1.369,1.0490000000000002,47.7,82.8,222.406278,17.464546,0.08,0.08,2010-12-13T03:49:26.472,2455543.6593341664,32564224,,,,Usedcolpulldownfixmosaics,44.1,6.2,7.1,122.7,10.3,11.9,0.8909999999999999,-0.19699999999999998,0.43700000000000006,-0.35600000000000004,1.791,0.32,-0.17800000000000002,0.218,-0.28800000000000003,0.635,1.33,-0.31,0.55,-0.56,1.74,0.01
1992 SK,,10115,ExploreNEOs,1.2486,0.32473,15.32,8.97,233.5417,1.39523,115.72787,68.63931,16.66,17.4,0.22,0.15,1.17,0.307,50.5,115.8,147.081998,29.7965,0.14,0.17,2010-04-13T09:53:12.483,2455299.9119500346,32650496,,,,,549.2,23.6,23.3,1895.6,41.7,45.5,0.736,-0.15,0.306,-0.272,1.244,0.359,-0.185,0.21600000000000003,-0.315,0.5770000000000001,1.35,-0.3,0.53,-0.54,1.74,0.01
1995 BL2,,10165,ExploreNEOs,1.2346,0.50374,23.89,312.4803,348.3989,1.3718700000000001,118.09674,2.78705,19.27,17.59,0.22,0.15,1.548,0.8170000000000001,35.7,116.0,217.469106,14.821957000000001,0.11,0.13,2010-05-12T15:28:03.873,2455329.14448927,32668672,,,,,29.5,5.4,5.5,49.8,6.7,7.4,0.536,-0.111,0.252,-0.204,1.2570000000000001,0.5670000000000001,-0.309,0.353,-0.521,0.905,1.2,-0.3,0.54,-0.54,1.85,0.07
1999 MM,,101869,ExploreNEOs,1.6238,0.61083,4.76,111.1226,268.5558,2.06926,191.69515,-13.456029999999998,17.6,19.61,0.22,0.15,1.006,0.11,87.5,86.3,301.191665,49.400728,1.27,0.99,2010-02-20T04:29:07.836,2455247.68689625,32701952,,,,,259.0,15.8,16.4,1102.9,30.9,35.7,0.293,-0.048,0.096,-0.091,0.305,0.294,-0.13,0.14,-0.235,0.408,1.7,-0.29,0.51,-0.52,1.41,0.01
1989 ML,,10302,ExploreNEOs,1.2725,0.13665,4.38,104.3993,183.2799,1.4355200000000001,352.26225,-5.5361199999999995,17.44,19.7,0.22,0.15,1.1,0.152,56.0,116.9,77.008325,-60.833259999999996,0.0,0.0,2009-08-21T03:09:35.646,2455064.631662569,32642048,,,,,229.4,14.9,15.4,560.0,21.8,25.7,0.203,-0.035,0.069,-0.067,0.27699999999999997,0.5589999999999999,-0.251,0.27399999999999997,-0.47100000000000003,0.6509999999999999,1.4,-0.3,0.52,-0.55,1.71,0.01
2000 NF11,,105141,ExploreNEOs,1.4211,0.18902,14.82,123.7816,115.8174,1.69402,318.90423,14.67159,18.83,19.22,0.22,0.15,1.187,0.335,52.5,112.4,64.73252099999999,-23.027387,0.89,0.5,2010-08-03T09:37:30.056,2455411.9010423147,32652800,,,,,105.8,10.9,9.7,464.5,20.4,22.8,0.406,-0.091,0.18600000000000003,-0.161,0.721,0.218,-0.11699999999999999,0.152,-0.19399999999999998,0.424,1.37,-0.31,0.54,-0.55,1.73,0.0
1993 WD,Izhdubar,10563,ExploreNEOs,1.0068,0.26644,63.46,56.5736,132.1931,1.01027,100.17752,-39.593090000000004,18.48,17.11,0.22,0.15,1.258,0.6920000000000001,54.2,92.4,248.512537,-18.823437,0.23,0.25,2009-12-01T10:26:31.331,2455166.9350848496,32608256,,,,,152.1,12.6,12.1,506.9,21.8,23.3,1.043,-0.22899999999999998,0.489,-0.419,1.905,0.233,-0.129,0.157,-0.207,0.462,1.38,-0.3,0.55,-0.55,1.69,0.01
2001 LF,,108519,ExploreNEOs,1.6034,0.27083,16.39,267.345,343.738,2.03039,328.47155,16.692529999999998,17.94,18.26,0.22,0.15,1.24,0.366,46.2,118.8,73.21074399999999,-28.572802000000003,0.46,0.15,2009-08-13T13:09:07.530,2455057.04800382,32636160,,,,,1706.7,39.3,43.4,9686.1,87.2,111.1,1.868,-0.501,1.026,-0.857,4.03,0.025,-0.015,0.023,-0.023,0.077,1.3,-0.31,0.55,-0.55,1.78,0.0
1992 CC1,Sigurd,11066,ExploreNEOs,1.3916,0.37522,36.89,349.2676,21.9414,1.64166,194.7584,5.0019800000000005,17.84,15.57,0.22,0.15,1.749,1.048,30.8,117.0,307.94889900000004,67.79764499999999,0.06,0.08,2010-03-19T10:00:30.412,2455274.9170186576,32697088,,,,,157.1,13.2,11.9,235.4,14.8,15.9,1.751,-0.44,1.102,-0.763,5.377000000000001,0.33799999999999997,-0.21100000000000002,0.276,-0.32,0.747,1.15,-0.29,0.55,-0.53,1.93,0.04
